=======================================
Testing Seeds 5001-5500 (500 seeds)
=======================================

Step 1: Generating teams...
Step 2: Running JavaScript battles...
Step 3: Running Rust battles...
Step 4: Comparing results...

Seed 5115: ✓ PASS (100%) - 58/58 turns
Seed 5116: ✓ PASS (100%) - 100/100 turns
Seed 5117: ✓ PASS (100%) - 47/47 turns
Seed 5118: ✓ PASS (100%) - 96/96 turns
Seed 5119: ✓ PASS (100%) - 20/20 turns
Seed 5120: ✓ PASS (100%) - 66/66 turns
Seed 5121: ✓ PASS (100%) - 81/81 turns
Seed 5122: ✓ PASS (100%) - 21/21 turns
Seed 5123: ✗ FAIL (65%) - 21/32 turns
Seed 5124: ✓ PASS (100%) - 88/88 turns
Seed 5125: ✗ FAIL (40%) - 37/91 turns
Seed 5126: ✓ PASS (100%) - 31/31 turns
Seed 5127: ✓ PASS (100%) - 48/48 turns
Seed 5128: ✓ PASS (100%) - 43/43 turns
Seed 5129: ✓ PASS (100%) - 48/48 turns
Seed 5130: ✓ PASS (100%) - 32/32 turns
Seed 5131: ✗ FAIL (61%) - 44/72 turns
Seed 5132: ✓ PASS (100%) - 92/92 turns
Seed 5133: ✓ PASS (100%) - 64/64 turns
Seed 5134: ✓ PASS (100%) - 73/73 turns
Seed 5135: ✓ PASS (100%) - 100/100 turns
Seed 5136: ✓ PASS (100%) - 65/65 turns
Seed 5137: ✓ PASS (100%) - 74/74 turns
Seed 5138: ✓ PASS (100%) - 88/88 turns
Seed 5139: ✓ PASS (100%) - 28/28 turns
Seed 5140: ✗ FAIL (74%) - 20/27 turns
Seed 5141: ✓ PASS (100%) - 38/38 turns
Seed 5142: ✓ PASS (100%) - 50/50 turns
Seed 5143: ✓ PASS (100%) - 41/41 turns
Seed 5144: ✓ PASS (100%) - 63/63 turns
Seed 5145: ✓ PASS (100%) - 40/40 turns
Seed 5146: ✓ PASS (100%) - 36/36 turns
Seed 5147: ✓ PASS (100%) - 27/27 turns
Seed 5148: ✓ PASS (100%) - 62/62 turns
Seed 5149: ✓ PASS (100%) - 47/47 turns
Seed 5150: ✓ PASS (100%) - 91/91 turns
Seed 5151: ✓ PASS (100%) - 88/88 turns
Seed 5152: ✓ PASS (100%) - 73/73 turns
Seed 5153: ✓ PASS (100%) - 57/57 turns
Seed 5154: ✓ PASS (100%) - 62/62 turns
Seed 5155: ✓ PASS (100%) - 32/32 turns
Seed 5156: ✓ PASS (100%) - 35/35 turns
Seed 5157: ✗ FAIL (58%) - 33/56 turns
Seed 5158: ✓ PASS (100%) - 22/22 turns
Seed 5159: ✓ PASS (100%) - 64/64 turns
Seed 5160: ✓ PASS (100%) - 65/65 turns
Seed 5161: ✓ PASS (100%) - 65/65 turns
Seed 5162: ✓ PASS (100%) - 39/39 turns
Seed 5163: ✓ PASS (100%) - 56/56 turns
Seed 5164: ✓ PASS (100%) - 88/88 turns
Seed 5165: ✓ PASS (100%) - 39/39 turns
Seed 5166: ✗ FAIL (10%) - 5/47 turns
Seed 5167: ✓ PASS (100%) - 25/25 turns
Seed 5168: ✓ PASS (100%) - 37/37 turns
Seed 5169: ✓ PASS (100%) - 27/27 turns
Seed 5170: ✓ PASS (100%) - 33/33 turns
Seed 5171: ✓ PASS (100%) - 60/60 turns
Seed 5172: ✗ FAIL (87%) - 58/66 turns
Seed 5173: ✓ PASS (100%) - 60/60 turns
Seed 5174: ✓ PASS (100%) - 66/66 turns
Seed 5175: ✓ PASS (100%) - 85/85 turns
Seed 5176: ✓ PASS (100%) - 33/33 turns
Seed 5177: ✓ PASS (100%) - 100/100 turns
Seed 5178: ✓ PASS (100%) - 59/59 turns
Seed 5179: ✓ PASS (100%) - 92/92 turns
Seed 5180: ✓ PASS (100%) - 52/52 turns
Seed 5181: ✓ PASS (100%) - 45/45 turns
Seed 5182: ✓ PASS (100%) - 46/46 turns
Seed 5183: ✓ PASS (100%) - 100/100 turns
Seed 5184: ✓ PASS (100%) - 100/100 turns
Seed 5185: ✓ PASS (100%) - 15/15 turns
Seed 5186: ✓ PASS (100%) - 33/33 turns
Seed 5187: ✓ PASS (100%) - 36/36 turns
Seed 5188: ✗ FAIL (77%) - 44/57 turns
Seed 5189: ✓ PASS (100%) - 45/45 turns
Seed 5190: ✓ PASS (100%) - 30/30 turns
Seed 5191: ✓ PASS (100%) - 58/58 turns
Seed 5192: ✓ PASS (100%) - 97/97 turns
Seed 5193: ✓ PASS (100%) - 18/18 turns
