=======================================
Testing Minimized Seeds (723 tests)
=======================================

Step 1: Copying team files...
Step 2: Building Rust binary...
Step 3: Running JavaScript battles...
Step 4: Running Rust battles...
Step 5: Copying results...

Step 6: Comparing results...

Seed 1249: ✗ FAIL - #1: turn=2, prng=0->0, P1=[Mr. Mime(231/231)], P2=[Staryu(160/160)]
Seed 1252: ✗ FAIL - #1: turn=2, prng=0->7, P1=[Meowth(194/223)], P2=[Tepig(145/229)]
Seed 1256: ✗ FAIL - #1: turn=2, prng=0->4, P1=[Morpeko(152/152)], P2=[Galvantula(213/255)]
Seed 1258: ✗ FAIL - #1: turn=2, prng=0->8, P1=[Cacnea(174/231)], P2=[Roggenrola(190/272)]
Seed 1267: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Zarude(253/285)], P2=[Kyogre(232/266)]
Seed 1279: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Grubbin(225/241)], P2=[Raichu(101/148)]
Seed 1284: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Aegislash(182/224)], P2=[Floragato(198/242)]
Seed 1288: ✗ FAIL - #1: turn=2, prng=0->5, P1=[Greninja(228/270)], P2=[Maushold(100/250)]
Seed 1333: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Barbaracle(189/217)], P2=[Lucario(162/185)]
Seed 1348: ✗ FAIL - #1: turn=2, prng=0->3, P1=[Salamence(263/263)], P2=[Toedscruel(318/318)]
Seed 1359: ✗ FAIL - #1: turn=2, prng=0->5, P1=[Mimikyu(211/211)], P2=[Skiploom(173/211)]
Seed 1362: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Pinsir(143/167)], P2=[Carbink(196/206)]
Seed 1369: ✗ FAIL - #1: turn=2, prng=0->4, P1=[Cubchoo(141/141)], P2=[Terrakion(340/340)]
Seed 1379: ✗ FAIL - #1: turn=2, prng=0->5, P1=[Squirtle(151/185)], P2=[Grimer(172/303)]
Seed 1398: ✗ FAIL - #1: turn=2, prng=0->0, P1=[Shaymin(351/351)], P2=[Xerneas(280/280)]
Seed 1400: ✗ FAIL - #1: turn=2, prng=0->4, P1=[Magearna(228/262)], P2=[Cyndaquil(158/180)]
Seed 1420: ✗ FAIL - #1: turn=2, prng=0->4, P1=[Eternatus(488/499)], P2=[Ribombee(246/246)]
Seed 1424: ✗ FAIL - #1: turn=2, prng=0->7, P1=[Meowscarada(258/283)], P2=[Yveltal(164/260)]
Seed 1428: ✗ FAIL - #1: turn=1, prng=0->3, P1=[Naclstack(241/279)], P2=[Groudon(0/207)]
Seed 1432: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Xerneas(173/240)], P2=[Nidoking(74/173)]
Seed 1484: ✗ FAIL - #1: turn=2, prng=0->8, P1=[Alcremie(218/232)], P2=[Luxio(117/148)]
Seed 1490: ✗ FAIL - #1: turn=2, prng=0->1, P1=[Frosmoth(299/299)], P2=[Zygarde(488/488)]
Seed 1497: ✗ FAIL - #1: turn=2, prng=0->4, P1=[Glaceon(234/244)], P2=[Charcadet(221/221)]
Seed 1508: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Tauros(292/312)], P2=[Kyogre(155/231)]
Seed 1519: ✗ FAIL - #1: turn=2, prng=0->3, P1=[Sinistea(139/139)], P2=[Dragonair(239/264)]
Seed 1524: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Plusle(219/249)], P2=[Makuhita(198/237)]
Seed 1538: ✗ FAIL - #1: turn=2, prng=0->3, P1=[Alakazam(157/224)], P2=[Pidgeot(299/299)]
Seed 1540: ✗ FAIL - #1: turn=2, prng=0->1, P1=[Groudon(242/242)], P2=[Cherubi(210/210)]
Seed 1543: ✗ FAIL - #1: turn=2, prng=0->5, P1=[Bombirdier(229/229)], P2=[Skeledirge(258/276)]
Seed 1558: ✗ FAIL - #1: turn=2, prng=0->2, P1=[Mewtwo(369/370)], P2=[Excadrill(244/244)]
Seed 1568: ✗ FAIL - #1: turn=2, prng=0->7, P1=[Scrafty(225/258)], P2=[Chromera(230/296)]
Seed 1584: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Braviary(300/329)], P2=[Lugia(292/312)]
Seed 1602: ✗ FAIL - #1: turn=2, prng=0->3, P1=[Marowak(249/249)], P2=[Vikavolt(147/306)]
Seed 1615: ✗ FAIL - #1: turn=2, prng=0->5, P1=[Loudred(121/205)], P2=[Falinks(118/286)]
